Date,China,US,United_Kingdom,Italy,France,Germany,Spain,Iran
2020-01-22,548.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,643.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,920.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-01-25,1406.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-01-26,2075.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-01-27,2877.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0
2020-01-28,5509.0,5.0,0.0,0.0,4.0,4.0,0.0,0.0
2020-01-29,6087.0,6.0,0.0,0.0,5.0,4.0,0.0,0.0
2020-01-30,8141.0,6.0,0.0,0.0,5.0,4.0,0.0,0.0
2020-01-31,9802.0,8.0,2.0,2.0,5.0,5.0,0.0,0.0
2020-02-01,11891.0,8.0,2.0,2.0,6.0,8.0,1.0,0.0
2020-02-02,16630.0,8.0,2.0,2.0,6.0,10.0,1.0,0.0
2020-02-03,19716.0,11.0,8.0,2.0,6.0,12.0,1.0,0.0
2020-02-04,23707.0,11.0,8.0,2.0,6.0,12.0,1.0,0.0
2020-02-05,27440.0,11.0,9.0,2.0,6.0,12.0,1.0,0.0
2020-02-06,30587.0,12.0,9.0,2.0,6.0,12.0,1.0,0.0
2020-02-07,34110.0,12.0,9.0,3.0,6.0,13.0,1.0,0.0
2020-02-08,36814.0,12.0,13.0,3.0,11.0,13.0,1.0,0.0
2020-02-09,39829.0,12.0,14.0,3.0,11.0,14.0,2.0,0.0
2020-02-10,42354.0,12.0,14.0,3.0,11.0,14.0,2.0,0.0
2020-02-11,44386.0,13.0,15.0,3.0,11.0,16.0,2.0,0.0
2020-02-12,44759.0,13.0,16.0,3.0,11.0,16.0,2.0,0.0
2020-02-13,59895.0,14.0,17.0,3.0,11.0,16.0,2.0,0.0
2020-02-14,66358.0,14.0,18.0,3.0,11.0,16.0,2.0,0.0
2020-02-15,68413.0,14.0,18.0,3.0,12.0,16.0,2.0,0.0
2020-02-16,70513.0,14.0,18.0,3.0,12.0,16.0,2.0,0.0
2020-02-17,72434.0,14.0,19.0,3.0,12.0,16.0,2.0,0.0
2020-02-18,74211.0,14.0,19.0,3.0,12.0,16.0,2.0,0.0
2020-02-19,74619.0,14.0,20.0,3.0,12.0,16.0,2.0,2.0
2020-02-20,75077.0,14.0,22.0,3.0,12.0,16.0,2.0,5.0
2020-02-21,75550.0,16.0,23.0,20.0,12.0,16.0,2.0,18.0
2020-02-22,77001.0,16.0,23.0,62.0,12.0,16.0,2.0,28.0
2020-02-23,77022.0,16.0,28.0,155.0,12.0,16.0,2.0,43.0
2020-02-24,77241.0,16.0,30.0,229.0,12.0,16.0,2.0,61.0
2020-02-25,77754.0,16.0,34.0,322.0,14.0,17.0,6.0,95.0
2020-02-26,78166.0,16.0,37.0,453.0,18.0,27.0,13.0,139.0
2020-02-27,78600.0,17.0,44.0,655.0,38.0,46.0,15.0,245.0
2020-02-28,78928.0,17.0,56.0,888.0,57.0,48.0,32.0,388.0
2020-02-29,79356.0,25.0,61.0,1128.0,100.0,79.0,45.0,593.0
2020-03-01,79932.0,32.0,94.0,1694.0,130.0,130.0,84.0,978.0
2020-03-02,80136.0,55.0,134.0,2036.0,191.0,159.0,120.0,1501.0
2020-03-03,80261.0,74.0,189.0,2502.0,204.0,196.0,165.0,2336.0
2020-03-04,80386.0,107.0,246.0,3089.0,288.0,262.0,222.0,2922.0
2020-03-05,80537.0,184.0,295.0,3858.0,380.0,482.0,259.0,3513.0
2020-03-06,80690.0,237.0,374.0,4636.0,656.0,670.0,400.0,4747.0
2020-03-07,80770.0,403.0,429.0,5883.0,959.0,799.0,500.0,5823.0
2020-03-08,80823.0,519.0,483.0,7375.0,1136.0,1040.0,673.0,6566.0
2020-03-09,80860.0,594.0,630.0,9172.0,1219.0,1176.0,1073.0,7161.0
2020-03-10,80887.0,782.0,889.0,10149.0,1794.0,1457.0,1695.0,8042.0
2020-03-11,80921.0,1147.0,1301.0,12462.0,2293.0,1908.0,2277.0,9000.0
2020-03-12,80932.0,1586.0,1790.0,15113.0,2293.0,2078.0,2277.0,10075.0
2020-03-13,80945.0,2219.0,2270.0,17660.0,3681.0,3675.0,5232.0,11364.0
2020-03-14,80977.0,2978.0,2634.0,21157.0,4496.0,4585.0,6391.0,12729.0
2020-03-15,81003.0,3212.0,3077.0,24747.0,4532.0,5795.0,7798.0,13938.0
2020-03-16,81033.0,4679.0,3692.0,27980.0,6683.0,7272.0,9942.0,14991.0
2020-03-17,81058.0,6511.0,4462.0,31506.0,7715.0,9257.0,11748.0,16169.0
2020-03-18,81102.0,9165.0,5467.0,35713.0,9124.0,12327.0,13910.0,17361.0
2020-03-19,81156.0,13659.0,6533.0,41035.0,10970.0,15320.0,17963.0,18407.0
2020-03-20,81250.0,20026.0,7791.0,47021.0,12758.0,19848.0,20410.0,19644.0
2020-03-21,81305.0,26022.0,9006.0,53578.0,14463.0,22213.0,25374.0,20610.0
2020-03-22,81435.0,34824.0,10395.0,59138.0,16243.0,24873.0,28768.0,21638.0
2020-03-23,81498.0,46043.0,12744.0,63927.0,20123.0,29056.0,35136.0,23049.0
